USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
MN,27113,00659502,Pennington County,1596928761,4332058,616.578,1.673,48.069247,-96.037725
MN,27115,00659503,Pine County,3655223636,60260135,1411.290,23.267,46.100940,-92.763094
MN,27117,00659504,Pipestone County,1204488112,2348855,465.055,0.907,44.015361,-96.257015
MN,27119,00659505,Polk County,5105067507,69169913,1971.078,26.707,47.774254,-96.400027
MN,27121,00659506,Pope County,1734134613,123231111,669.553,47.580,45.589623,-95.446705
MN,27123,00659507,Ramsey County,394086415,46423386,152.158,17.924,45.015250,-93.100141
MN,27125,00659508,Red Lake County,1119929328,227815,432.407,0.088,47.865487,-96.087180
MN,27127,00659509,Redwood County,2275500538,8220927,878.576,3.174,44.403536,-95.254241
MN,27129,00659510,Renville County,2545744679,10851893,982.918,4.190,44.723697,-94.955617
MN,27131,00659511,Rice County,1284229903,52055569,495.844,20.099,44.350943,-93.298503
MN,27133,00659512,Rock County,1249560777,698231,482.458,0.270,43.669587,-96.263238
MN,27135,00659513,Roseau County,4329460632,16924718,1671.614,6.535,48.761068,-95.821504
MN,27137,00662850,St. Louis County,16181092598,1584976829,6247.555,611.963,47.578635,-92.514570
MN,27139,00659514,Scott County,922707433,31375011,356.259,12.114,44.651805,-93.533731
MN,27141,00659515,Sherburne County,1121245709,46951033,432.915,18.128,45.453176,-93.769130
MN,27143,00659516,Sibley County,1524937452,30427528,588.782,11.748,44.575734,-94.230123
