GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG 
01069,72720237,751921,28.077,0.290,42.187794,-72.308469 
01070,53343558,596478,20.596,0.230,42.518446,-72.919017 
01071,40311508,814201,15.564,0.314,42.160064,-72.873840 
01072,51988078,1360921,20.073,0.525,42.456968,-72.417244 
01073,72914121,2084351,28.152,0.805,42.226949,-72.741588 
01074,220751,52379,0.085,0.020,42.387603,-72.093230 
01075,45886333,1773572,17.717,0.685,42.256208,-72.581030 
01077,79829479,2141671,30.822,0.827,42.052570,-72.777353 
01079,2921898,108238,1.128,0.042,42.197913,-72.329709 
01080,4472228,256694,1.727,0.099,42.185727,-72.361558 
01081,37583364,564877,14.511,0.218,42.061313,-72.234411 
01082,119451476,16197982,46.120,6.254,42.293533,-72.278599 
01083,40805728,156565,15.755,0.060,42.203642,-72.194599 
01084,23799816,221546,9.189,0.086,42.392370,-72.882235 
01085,154634279,2962351,59.705,1.144,42.153503,-72.771602 
01086,96152,0,0.037,0.000,42.130446,-72.793967 
01088,13457389,36980,5.196,0.014,42.391709,-72.646494 
01089,43338244,2059804,16.733,0.795,42.125451,-72.649734 
01092,17375639,80681,6.709,0.031,42.191868,-72.235108 
01093,13060370,16677,5.043,0.006,42.441943,-72.661817 
01094,2957301,172820,1.142,0.067,42.359108,-72.136800 
01095,58261400,746635,22.495,0.288,42.138499,-72.420715 
01096,82011336,533919,31.665,0.206,42.397138,-72.763554 
01097,4852535,208842,1.874,0.081,42.178038,-72.832612 
01098,81230325,385282,31.363,0.149,42.394315,-72.943115 
01103,1191846,205067,0.460,0.079,42.104106,-72.592027 
01104,13509673,212850,5.216,0.082,42.134009,-72.565378 
01105,3219039,306963,1.243,0.119,42.099958,-72.580765 
01106,24016468,1344937,9.273,0.519,42.047565,-72.571130 
01107,3903488,89142,1.507,0.034,42.121060,-72.607068 
01108,9648043,406406,3.725,0.157,42.080692,-72.560791 
01109,14094961,487888,5.442,0.188,42.119674,-72.549726 
01118,9312204,260881,3.595,0.101,42.094194,-72.525081 
01119,9194299,241735,3.550,0.093,42.124978,-72.511210 
01128,2887360,1287,1.115,0.000,42.092296,-72.489135 
01129,8875270,237886,3.427,0.092,42.118690,-72.488200 
01151,6135193,479252,2.369,0.185,42.151860,-72.509131 
01199,28277,0,0.011,0.000,42.120563,-72.604468 
01201,137100028,6754457,52.935,2.608,42.448236,-73.273727 
01220,63690793,189771,24.591,0.073,42.623799,-73.116736 
01222,8566364,332862,3.307,0.129,42.058703,-73.322175 
01223,180705971,5297500,69.771,2.045,42.312225,-73.110124 
01224,720507,82246,0.278,0.032,42.513163,-73.195743 
01225,65032902,1827513,25.109,0.706,42.563401,-73.153335 
01226,68283556,366482,26.364,0.141,42.481119,-73.135073 
01229,1897309,1745,0.733,0.001,42.276338,-73.335896 
01230,237030361,4523580,91.518,1.747,42.173195,-73.324290 
01235,118234582,2794600,45.651,1.079,42.425677,-73.063028 
01236,12442176,157973,4.804,0.061,42.266496,-73.378393 
01237,160145850,1132956,61.833,0.437,42.547818,-73.268033 
01238,90221001,2706102,34.835,1.045,42.297501,-73.230148 
01240,55363291,1159119,21.376,0.448,42.367858,-73.269763 
01242,1289553,25165,0.498,0.010,42.333734,-73.249199 
01243,48260334,57174,18.633,0.022,42.350122,-73.024112 
01244,6345196,70886,2.450,0.027,42.118094,-73.257497 
01245,72481256,2048210,27.985,0.791,42.186893,-73.223105 
01247,136067563,1474691,52.536,0.569,42.698526,-73.084300 
01253,47370578,1047605,18.290,0.404,42.206683,-73.113214 
01254,37764321,148218,14.581,0.057,42.382019,-73.365492 
01255,134222455,2914729,51.824,1.125,42.107496,-73.118607 
01256,92878793,452282,35.861,0.175,42.594166,-73.022320 
01257,93810157,2222467,36.220,0.858,42.085244,-73.367483 
01258,66892284,399783,25.827,0.154,42.109280,-73.462886 
01259,65561659,2041637,25.313,0.788,42.075469,-73.234376 
01260,6503634,101867,2.511,0.039,42.295696,-73.342543 
01262,31175833,2127512,12.037,0.821,42.292202,-73.319209 
01264,29375249,90081,11.342,0.035,42.231590,-73.202428 
01266,67478485,780826,26.054,0.301,42.312354,-73.388044 
01267,141208669,342264,54.521,0.132,42.671617,-73.246981 
01270,82502022,420999,31.854,0.163,42.515272,-73.031166 
01301,66034130,1397303,25.496,0.540,42.626761,-72.601530 
01330,86289951,631865,33.317,0.244,42.513947,-72.821517 
01331,137853121,3588216,53.225,1.385,42.562408,-72.191080 
01337,96461580,158967,37.244,0.061,42.689308,-72.582249 
01338,8939561,12299,3.452,0.005,42.572604,-72.824306 
01339,142261831,627962,54.928,0.242,42.603776,-72.889644 
01340,113408743,665699,43.787,0.257,42.694731,-72.710956 
01341,92494679,446652,35.712,0.172,42.496937,-72.709414 
01342,46225730,2181543,17.848,0.842,42.543889,-72.609458 
01343,12606820,94167,4.868,0.036,42.657625,-72.978933 
01344,35252177,1378696,13.611,0.532,42.613418,-72.426428 
01346,55312655,95459,21.356,0.037,42.693268,-72.823116 
01347,1497726,221070,0.578,0.085,42.559294,-72.518753 
01349,19913665,548465,7.689,0.212,42.563061,-72.482115 
